Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260516;26L161504;LOT 26L161504 16/05/26  Conservation 4/6 °C;213
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260515;26L161404;LOT 26L161404 15/05/26  Conservation 4/6 °C;9
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260518;26L161704;LOT 26L161704 18/05/26  Conservation 4/6 °C;7
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260518;26L161704;LOT 26L161704 18/05/26  Conservation 4/6 °C;90
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Nature 140G RGF - 140G;13374270830006;260516;26L140104;LOT 26L140104 16/05/26  Conservation 4/6 °C;43
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Nature 140G RGF - 140G;13374270830006;260525;26L151004;LOT 26L151004 25/05/26  Conservation 4/6 °C;29
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Citron 140G RGF - 140G;13374270830051;260517;26L140204;LOT 26L140204 17/05/26  Conservation 4/6 °C;72
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Vanille 140G RGF - 140G;13374270830068;260525;26L151004;LOT 26L151004 25/05/26  Conservation 4/6 °C;144
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;260531;26L161604;LOT 26L161604 31/05/26  Conservation 4/6 °C;72
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;260517;26L140204;LOT 26L140204 17/05/26  Conservation 4/6 °C;49
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;260518;26L140304;LOT 26L140304 18/05/26  Conservation 4/6 °C;167
CREMLOG;V-00265257;23/04/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260525;26L151004;LOT 26L151004 25/05/26  Conservation 4/6 °C;72
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260518;26L161704;LOT 26L161704 18/05/26  Conservation 4/6 °C;54
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260516;26L161504;LOT 26L161504 16/05/26  Conservation 4/6 °C;270
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260515;26L161404;LOT 26L161404 15/05/26  Conservation 4/6 °C;1
CREMLOG;V-00265257;23/04/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260518;26L161704;LOT 26L161704 18/05/26  Conservation 4/6 °C;46
CREMLOG;V-00265257;23/04/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260519;26L161404;LOT 26L161404 19/05/26  Conservation 4/6 °C;135

Dimensions d'UNE étiquette individuelle : Largeur = 30 mm / Hauteur = 115 mm (et non l'inverse).Largeur totale de la bande (les 3 de front) Largeur = 30mm + les espacements internes 95 100\mm
