Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
CREMCENTRE;V-00268738;28/07/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260831;26L291707;LOT 26L291707 31/08/26  Conservation 4/6 °C;288
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;198
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;155
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260816;26L291607;LOT 26L291607 16/08/26  Conservation 4/6 °C;25
CREMCENTRE;V-00268738;28/07/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;108
CREMCENTRE;V-00268738;28/07/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;162
CREMCENTRE;V-00268738;28/07/26;6 SKYR NATURE 0% 480G - 480G;13374271030054;260817;170726;LOT 170726 17/08/26  Conservation 4/6 °C;17
CREMCENTRE;V-00268738;28/07/26;6 SKYR NATURE 0% 480G - 480G;13374271030054;260821;210726;LOT 210726 21/08/26  Conservation 4/6 °C;9
CREMCENTRE;V-00268738;28/07/26;6 Yaourt Brasse Citron 140G RGF - 140G;13374270830051;260831;26L291707;LOT 26L291707 31/08/26  Conservation 4/6 °C;315
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;215
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;1
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260820;26L302007;LOT 26L302007 20/08/26  Conservation 4/6 °C;162
CREMCENTRE;V-00268738;28/07/26;6 Yaourt Brasse Vanille 140G RGF - 140G;13374270830068;260906;26L302307;LOT 26L302307 06/09/26  Conservation 4/6 °C;288
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260822;26L302207;LOT 26L302207 22/08/26  Conservation 4/6 °C;180
CREMCENTRE;V-00268738;28/07/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;144
CREMCENTRE;V-00268738;23/04/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260519;26L161404;LOT 26L161404 19/05/26  Conservation 4/6 °C;360
