Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Vanille 140G RGF - 140G;13374270830068;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;288
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;216
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;180
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260827;26L312707;LOT 26L312707 27/08/26  Conservation 4/6 °C;15
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260829;26L312907;LOT 26L312907 29/08/26  Conservation 4/6 °C;345
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;208
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260828;26L312807;LOT 26L312807 28/08/26  Conservation 4/6 °C;52
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;10
CREMCENTRE;V-00268981;01/08/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260825;26L302107;LOT 26L302107 25/08/26  Conservation 4/6 °C;128
CREMCENTRE;V-00268981;01/08/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260826;26L302207;LOT 26L302207 26/08/26  Conservation 4/6 °C;156
CREMCENTRE;V-00268981;01/08/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260831;26L312707;LOT 26L312707 31/08/26  Conservation 4/6 °C;76
CREMCENTRE;V-00268981;01/08/26;6 SKYR NATURE 0% 480G - 480G;13374271030054;260821;210726;LOT 210726 21/08/26  Conservation 4/6 °C;26
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;180
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260828;26L312807;LOT 26L312807 28/08/26  Conservation 4/6 °C;208
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260828;26L312807;LOT 26L312807 28/08/26  Conservation 4/6 °C;62
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260831;26L291707;LOT 26L291707 31/08/26  Conservation 4/6 °C;74
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;214
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Citron 140G RGF - 140G;13374270830051;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;288
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260828;26L312807;LOT 26L312807 28/08/26  Conservation 4/6 °C;150
CREMCENTRE;V-00268981;01/08/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260820;26L302007;LOT 26L302007 20/08/26  Conservation 4/6 °C;30
CREMCENTRE;V-00268981;01/08/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;360


agy --conversation=0b378152-6397-49a2-97e1-673cf517f213
