Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260816;26L291607;LOT 26L291607 16/08/26  Conservation 4/6 °C;108
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260823;26L280907;LOT 26L280907 23/08/26  Conservation 4/6 °C;100
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;260831;26L291707;LOT 26L291707 31/08/26  Conservation 4/6 °C;44
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;180
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Vanille 140G RGF - 140G;13374270830068;260906;26L302307;LOT 26L302307 06/09/26  Conservation 4/6 °C;180
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;260823;26L280907;LOT 26L280907 23/08/26  Conservation 4/6 °C;67
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;260907;26L302407;LOT 26L302407 07/09/26  Conservation 4/6 °C;77
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;12
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;168
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;180
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Citron 140G RGF - 140G;13374270830051;260831;26L291707;LOT 26L291707 31/08/26  Conservation 4/6 °C;216
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260822;26L302207;LOT 26L302207 22/08/26  Conservation 4/6 °C;180
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260816;26L291607;LOT 26L291607 16/08/26  Conservation 4/6 °C;25
CREMLOG;V-00268739;28/07/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260820;26L302007;LOT 26L302007 20/08/26  Conservation 4/6 °C;29
CREMLOG;V-00268739;28/07/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;;26L302307FIR260997  DON;LOT 26L302307FIR260997  DON   Conservation 4/6 °C;180
CREMLOG;V-00268739;23/04/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260519;26L161404;LOT 26L161404 19/05/26  Conservation 4/6 °C;360
