Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Nature 140G RGF - 140G;13374270830006;260725;26L241006;LOT 26L241006 25/07/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Citron 140G RGF - 140G;13374270830051;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Vanille 140G RGF - 140G;13374270830068;260920;26L320608;LOT 26L320608 20/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Caramel 140G RGF - 140G;13374270830075;261010;26L352608;LOT 26L352608 10/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Nois 140G RGF - 140G;13374270830082;261010;26L352608;LOT 26L352608 10/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Coco 140G RGF - 140G;13374270830099;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;12 Yaourt nature pot paraffine x4 - 4X125G;23374270030342;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;12 Yaourt nat. partiel.ecreme X4 - 4X125G;23374270030243;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt nat. partiel.ecreme X4 - 4X125G;13374270030246;260915;26L331108;LOT 26L331108 15/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;12 Yaourt vanille carton x4 - 4X125G;23374270020060;261001;26L352708;LOT 26L352708 01/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt vanille carton x4 - 4X125G;13374270020063;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B. MONOPRIX Myrtille - 140G;13350033909783;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B. MONOPRIX Vanille - 140G;13350033909776;260920;26L320608;LOT 26L320608 20/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B. MONOPRIX Framboise - 140G;13350033959849;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B. MONOPRIX Noisette - 140G;13350033909820;260913;26L313007;LOT 26L313007 13/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B MONOPRIX Nature - 140G;13350034054154;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Y.B MONOPRIX lit Litchi - 140G;13350034054161;260827;26L302307;LOT 26L302307 27/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6  - 1033G;13374272050402;260909;270826;LOT 270826 09/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Lait demi-ecreme Peupliers 1L - 1033G;13374272050419;260909;270826;LOT 270826 09/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Nature RGF - 2X125G;13374270031328;260925;26L352508;LOT 26L352508 25/09/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Vanille RGF - 2X125G;13374270051326;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Fraise RGF - 2X125G;13374270043222;260820;26L302007;LOT 26L302007 20/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Abricot RGF - 2X125G;13374270043123;260823;26L302307;LOT 26L302307 23/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Myrtille RGF - 2X125G;13374270043420;260821;26L302107;LOT 26L302107 21/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt entier Figue RGF - 2X125G;13374270040528;260828;26L312807;LOT 26L312807 28/08/26  Conservation 4/6 °C;1
ETIQUETTE NE PAS SUPPRIMER;V-00266835;03/06/26;6 Yaourt Brasse Amande 140G RGF - 140G;13701002416342;260930;26L352608;LOT 26L352608 30/09/26  Conservation 4/6 °C;1
