Client;Commande;DateLivraison;Libelle;CodeBarre01;CodeBarre17;CodeBarre10;Numlot;Quantite
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt nat. partiel.ecreme X4 - 4X125G;13374270030246;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt nature pot paraffine x4 - 4X125G;13374270030345;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;40
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Nature - 2X125G;13374270030321;260919;26L341908;LOT 26L341908 19/09/26  Conservation 4/6 °C;10
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Semoules Poire - 2X125G;13374270060229;;26L331108;LOT 26L331108   Conservation 4/6 °C;4
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Oeufs au lait Caramel - 2X125G;13374270070228;260926;26L331208;LOT 26L331208 26/09/26  Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Abricot - 2X125G;13374270040429;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;5
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Cerise - 2X125G;13374270040221;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Citron - 2X125G;13374270040825;;26L341808;LOT 26L341808   Conservation 4/6 °C;4
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Fraise - 2X125G;13374270041228;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;8
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Framboise - 2X125G;13374270041426;;26L341908;LOT 26L341908   Conservation 4/6 °C;5
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts F. des Bois - 2X125G;13374270041822;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;4
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Myrtille - 2X125G;13374270041624;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;5
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Vanille - 2X125G;13374270050329;260917;26L341708;LOT 26L341708 17/09/26  Conservation 4/6 °C;8
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Lait gelifie Chocolat - 2X125G;13374270051128;260925;26L352508;LOT 26L352508 25/09/26  Conservation 4/6 °C;15
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Lait gelifie Caramel - 2X125G;13374270050923;260917;26L341708;LOT 26L341708 17/09/26  Conservation 4/6 °C;5
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Lait gelifie Cafe - 2X125G;13374270050725;260925;26L352508;LOT 26L352508 25/09/26  Conservation 4/6 °C;7
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Semoules Caramba - 2X125G;13374270050121;;26L331108;LOT 26L331108   Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts peche - 2X125G;13374270041525;260919;26L341908;LOT 26L341908 19/09/26  Conservation 4/6 °C;2
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourts Mandarine - 2X125G;13374270041921;260924;26L352408;LOT 26L352408 24/09/26  Conservation 4/6 °C;2
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt vanille carton x4 - 4X125G;13374270020063;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;2
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt vanille carton x4 - 4X125G;13374270020063;260928;26L352408;LOT 26L352408 28/09/26  Conservation 4/6 °C;2
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt Brasse Myrtille 140G - 140G;13374270820045;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt Brasse Citron 140g - 140G;13374270820052;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;3
NORMANDIE SERVICE FRAIS SAS;V-00269924;28/08/26;6 Yaourt Brasse Fraise 140G - 140G;13374270820021;261009;26L352508;LOT 26L352508 09/10/26  Conservation 4/6 °C;2
